Индекс ВМО,Дата,Общий признак качества температур,Минимальная температура воздуха,Средняя температура воздуха,Максимальная температура воздуха
34561,2020-01-01,0.0,-0.3,0.9,2.6
34561,2020-01-02,0.0,-3.2,-0.4,1.4
34561,2020-01-03,0.0,-3.9,-1.6,0.4
34561,2020-01-04,0.0,-0.9,0.5,3.5
34561,2020-01-05,0.0,-1.7,0.0,2.1
34561,2020-01-06,0.0,0.3,1.7,3.3
34561,2020-01-07,0.0,-4.3,-2.1,2.1
34561,2020-01-08,0.0,-3.4,-2.7,-1.7
34561,2020-01-09,0.0,-6.4,-3.7,-1.8
34561,2020-01-10,0.0,-4.1,-3.0,-2.1
34561,2020-01-11,0.0,-2.5,-1.4,0.2
34561,2020-01-12,0.0,-1.7,-0.4,0.7
34561,2020-01-13,0.0,-2.7,-2.2,-1.5
34561,2020-01-14,0.0,-1.6,0.5,1.5
34561,2020-01-15,0.0,-1.7,-0.3,1.0
34561,2020-01-16,0.0,-4.0,-1.7,0.3
34561,2020-01-17,0.0,-2.2,-1.6,-0.5
34561,2020-01-18,0.0,-2.4,-0.5,0.9
34561,2020-01-19,0.0,-2.2,0.1,2.1
34561,2020-01-20,0.0,-3.8,-1.5,0.4
34561,2020-01-21,0.0,-4.1,-1.7,0.2
34561,2020-01-22,0.0,-1.1,0.2,1.7
34561,2020-01-23,0.0,-2.9,-0.1,1.5
34561,2020-01-24,0.0,-9.6,-5.6,-2.4
34561,2020-01-25,0.0,-6.8,-1.5,0.2
34561,2020-01-26,0.0,-0.5,0.5,1.2
34561,2020-01-27,0.0,-4.0,-1.3,1.1
34561,2020-01-28,0.0,-0.2,0.7,3.2
34561,2020-01-29,0.0,-0.7,0.3,1.2
34561,2020-01-30,0.0,0.4,2.3,4.9
34561,2020-01-31,0.0,0.7,2.0,3.3
34561,2020-02-01,0.0,-1.9,-0.1,2.7
34561,2020-02-02,0.0,-2.1,1.6,4.2
34561,2020-02-03,0.0,2.1,6.0,7.7
34561,2020-02-04,0.0,0.3,2.7,5.5
34561,2020-02-05,0.0,-0.2,1.6,4.0
34561,2020-02-06,0.0,-2.4,-0.9,2.2
34561,2020-02-07,0.0,-3.9,-2.8,-0.5
34561,2020-02-08,0.0,-12.3,-9.1,-3.9
34561,2020-02-09,0.0,-11.3,-9.8,-8.0
34561,2020-02-10,0.0,-16.6,-12.9,-8.8
34561,2020-02-11,0.0,-12.2,-7.9,-4.6
34561,2020-02-12,0.0,-10.7,-7.1,-2.8
34561,2020-02-13,0.0,-2.9,-0.1,0.8
34561,2020-02-14,0.0,-3.8,-1.1,0.9
34561,2020-02-15,0.0,-4.1,-0.8,3.9
34561,2020-02-16,0.0,-2.6,0.4,6.6
34561,2020-02-17,0.0,-6.3,-2.9,1.7
34561,2020-02-18,0.0,-2.9,-0.3,3.2
34561,2020-02-19,0.0,-1.4,1.2,5.1
34561,2020-02-20,0.0,-1.5,0.4,1.8
34561,2020-02-21,0.0,-0.6,2.1,4.6
34561,2020-02-22,0.0,-1.2,0.1,3.4
34561,2020-02-23,0.0,-1.7,-0.6,1.2
34561,2020-02-24,0.0,0.2,1.9,3.2
34561,2020-02-25,0.0,1.4,2.5,4.4
34561,2020-02-26,0.0,-3.3,1.5,7.6
34561,2020-02-27,0.0,1.8,7.1,15.0
34561,2020-02-28,0.0,4.2,6.5,11.4
34561,2020-02-29,0.0,-1.2,3.5,8.4
34561,2020-03-01,0.0,0.4,3.8,8.1
34561,2020-03-02,0.0,-1.1,3.4,8.1
34561,2020-03-03,0.0,-2.9,2.7,8.4
34561,2020-03-04,0.0,4.4,9.0,15.8
34561,2020-03-05,0.0,2.8,6.8,12.9
34561,2020-03-06,0.0,0.0,4.7,11.6
34561,2020-03-07,0.0,3.3,6.4,11.4
34561,2020-03-08,0.0,2.2,6.9,12.4
34561,2020-03-09,0.0,0.5,5.5,10.4
34561,2020-03-10,0.0,1.1,7.1,16.4
34561,2020-03-11,0.0,3.7,8.2,14.8
34561,2020-03-12,0.0,7.0,9.4,13.9
34561,2020-03-13,0.0,3.0,8.0,14.8
34561,2020-03-14,0.0,5.6,9.5,15.5
34561,2020-03-15,0.0,1.2,3.2,6.6
34561,2020-03-16,0.0,-7.3,-2.0,2.3
34561,2020-03-17,0.0,-0.4,3.2,8.6
34561,2020-03-18,0.0,0.0,5.0,9.8
34561,2020-03-19,0.0,3.3,6.5,11.1
34561,2020-03-20,0.0,2.2,6.3,13.0
34561,2020-03-21,0.0,1.3,6.3,11.2
34561,2020-03-22,0.0,2.8,6.6,10.9
34561,2020-03-23,0.0,0.6,5.7,9.2
34561,2020-03-24,0.0,-4.3,-1.8,0.6
34561,2020-03-25,0.0,-0.8,2.1,7.5
34561,2020-03-26,0.0,0.1,5.1,12.7
34561,2020-03-27,0.0,3.8,10.1,16.1
34561,2020-03-28,0.0,3.8,10.3,17.5
34561,2020-03-29,0.0,4.5,11.0,18.4
34561,2020-03-30,0.0,4.9,11.4,18.9
34561,2020-03-31,0.0,7.5,13.4,20.1
34561,2020-04-01,0.0,-1.0,4.5,17.1
34561,2020-04-02,0.0,-3.1,2.5,9.3
34561,2020-04-03,0.0,1.2,6.7,12.6
34561,2020-04-04,0.0,1.9,9.2,15.2
34561,2020-04-05,0.0,5.9,9.7,14.1
34561,2020-04-06,0.0,0.3,3.8,10.2
34561,2020-04-07,0.0,-3.8,2.2,7.6
34561,2020-04-08,0.0,-0.6,5.6,13.0
34561,2020-04-09,0.0,4.1,8.8,14.0
34561,2020-04-10,0.0,3.0,8.8,14.6
34561,2020-04-11,0.0,2.0,7.8,16.0
34561,2020-04-12,0.0,0.2,3.8,7.4
34561,2020-04-13,0.0,0.6,6.6,14.1
34561,2020-04-14,0.0,4.6,11.0,17.6
34561,2020-04-15,0.0,5.4,11.0,18.4
34561,2020-04-16,0.0,1.2,4.8,9.3
34561,2020-04-17,0.0,6.6,10.7,16.8
34561,2020-04-18,0.0,5.6,10.8,15.5
34561,2020-04-19,0.0,5.4,10.1,15.1
34561,2020-04-20,0.0,4.9,8.3,13.5
34561,2020-04-21,0.0,1.6,6.4,12.5
34561,2020-04-22,0.0,2.8,7.0,11.4
34561,2020-04-23,0.0,0.8,5.2,9.9
34561,2020-04-24,0.0,4.3,10.5,17.9
34561,2020-04-25,0.0,9.2,14.4,19.6
34561,2020-04-26,0.0,6.4,12.3,17.7
34561,2020-04-27,0.0,9.9,12.0,15.4
34561,2020-04-28,0.0,6.7,9.8,14.4
34561,2020-04-29,0.0,4.7,12.1,18.9
34561,2020-04-30,0.0,12.9,17.3,22.5
34561,2020-05-01,0.0,7.9,16.3,23.4
34561,2020-05-02,0.0,11.6,16.4,22.8
34561,2020-05-03,0.0,14.2,17.9,25.3
34561,2020-05-04,0.0,13.6,19.6,26.9
34561,2020-05-05,0.0,14.5,19.5,25.9
34561,2020-05-06,0.0,13.0,18.4,24.7
34561,2020-05-07,0.0,13.6,16.1,22.8
34561,2020-05-08,0.0,13.2,15.9,19.5
34561,2020-05-09,0.0,10.9,13.2,17.5
34561,2020-05-10,0.0,7.8,12.3,17.2
34561,2020-05-11,0.0,9.2,12.7,17.8
34561,2020-05-12,0.0,9.5,17.0,24.7
34561,2020-05-13,0.0,10.2,17.0,23.1
34561,2020-05-14,0.0,4.2,10.3,15.7
34561,2020-05-15,0.0,9.9,14.6,22.0
34561,2020-05-16,0.0,7.6,10.6,17.5
34561,2020-05-17,0.0,5.6,12.0,19.3
34561,2020-05-18,0.0,11.1,12.5,17.8
34561,2020-05-19,0.0,9.0,11.8,15.1
34561,2020-05-20,0.0,9.9,11.9,15.1
34561,2020-05-21,0.0,9.8,13.8,18.7
34561,2020-05-22,0.0,10.4,11.9,14.9
34561,2020-05-23,0.0,8.4,9.6,11.1
34561,2020-05-24,0.0,5.5,12.1,18.0
34561,2020-05-25,0.0,8.9,15.6,20.6
34561,2020-05-26,0.0,11.0,14.7,19.4
34561,2020-05-27,0.0,9.6,15.1,22.2
34561,2020-05-28,0.0,14.0,19.6,27.5
34561,2020-05-29,0.0,17.6,23.7,30.1
34561,2020-05-30,0.0,15.9,21.1,29.6
34561,2020-05-31,0.0,13.1,18.0,22.7
34561,2020-06-01,0.0,14.8,18.2,23.8
34561,2020-06-02,0.0,14.4,18.2,25.0
34561,2020-06-03,0.0,17.1,21.1,26.9
34561,2020-06-04,0.0,15.3,19.6,24.6
34561,2020-06-05,0.0,14.1,18.7,23.7
34561,2020-06-06,0.0,15.2,21.0,26.8
34561,2020-06-07,0.0,17.7,24.0,28.4
34561,2020-06-08,0.0,18.9,25.4,31.2
34561,2020-06-09,0.0,20.2,26.8,32.0
34561,2020-06-10,0.0,20.5,27.2,33.0
34561,2020-06-11,0.0,21.7,28.7,35.1
34561,2020-06-12,0.0,21.7,29.3,35.9
34561,2020-06-13,0.0,22.4,29.5,36.4
34561,2020-06-14,0.0,23.0,27.8,34.7
34561,2020-06-15,0.0,19.5,25.3,30.4
34561,2020-06-16,0.0,18.6,25.2,30.7
34561,2020-06-17,0.0,18.8,26.2,32.7
34561,2020-06-18,0.0,18.9,27.0,34.6
