id,Символ,Описание
0,"""",высший и низший уровень за месяц в один день
1,#,изменение ледовых условий техническими средствами
2,&,ледостав с торосами
3,(,закраины
4,),забереги
5,*,редкий шугоход
6,/,искажение уровня воды естественными или искусственными явлениями
7,:,сало
8,;,внутриводный лед
9,@,плавучий лед
10,[,залом леса
11,],подо льдом шуга
12,^,высший уровень за месяц
13,_,низший уровень за месяц
14,~,вода на льду (стоячая)
15,+,ледоход поверх льда
16,<,затор ниже поста
17,=,лед ярусный
18,>,затор выше поста
19,F,лед нависший
20,I,ледостав
21,L,лесосплав
22,N,навалы льда
23,Q,лед на дне
24,S,сель
25,V,искажение стока воды искусственными явлениями
26,W,вода течет поверх льда
27,Z,неполный ледостав
28,А,трава на дне
29,Б,зажор выше поста
30,В,стоячая вода
31,Г,средний и густой ледоход вторичный
32,Д,естественные или искусственные деформации русла
33,Е,наледная вода
34,И,редкая снежура
35,К,редкий ледоход вторичный
36,Л,редний и густой ледоход
37,Н,наледь
38,П,подвижка льда
39,прмз,река промерзла
40,прсх,река пересохла
41,Р,разводья
42,С,средняя и густая снежура
43,Т,трава
44,Ф,ледяная перемычка
45,Х,редкий ледоход
46,Ш,средний и густой шугоход
47,Ъ,зажор ниже поста
48,ю,пониженная точность измерения
